1-1	0-11	Presentamos
1-2	12-14	el
1-3	15-19	caso
1-4	20-22	de
1-5	23-25	un
1-6	26-31	varón
1-7	32-34	de
1-8	35-37	58
1-9	38-42	años
1-10	43-46	que
1-11	47-53	acudió
1-12	54-57	por
1-13	58-67	urgencias
1-14	68-71	con
1-15	72-77	dolor
1-16	78-84	ocular
1-17	85-92	intenso
1-18	93-103	acompañado
1-19	104-106	de
1-20	107-114	pérdida
1-21	115-121	visual
1-22	122-132	progresiva
1-23	133-135	en
1-24	136-138	su
1-25	139-142	ojo
1-26	143-152	izquierdo
1-27	152-153	.

2-1	154-156	La
2-2	157-168	exploración
2-3	169-182	oftalmológica
2-4	183-189	mostró
2-5	190-193	una
2-6	194-198	masa
2-7	199-209	pigmentada
2-8	210-212	en
2-9	213-215	el
2-10	216-222	ángulo
2-11	223-235	iridocorneal
2-12	236-239	que
2-13	240-247	protuía
2-14	248-249	a
2-15	250-256	cámara
2-16	257-265	anterior
2-17	266-275	afectando
2-18	276-278	al
2-19	279-283	iris
2-20	283-284	.

3-1	285-287	La
3-2	288-295	clínica
3-3	296-299	del
3-4	300-308	paciente
3-5	309-312	fue
3-6	313-323	compatible
3-7	324-327	con
3-8	328-336	glaucoma
3-9	337-342	agudo
3-10	343-353	secundario
3-11	354-355	a
3-12	356-361	dicha
3-13	362-366	masa
3-14	367-375	presente
3-15	376-378	en
3-16	379-385	cámara
3-17	386-394	anterior
3-18	394-395	.

4-1	396-398	La
4-2	399-412	oftalmoscopía
4-3	413-419	mostró
4-4	420-423	una
4-5	424-428	masa
4-6	429-439	pigmentada
4-7	440-442	de
4-8	443-447	gran
4-9	448-454	tamaño
4-10	455-456	y
4-11	457-464	aspecto
4-12	465-474	irregular
4-13	474-475	,
4-14	476-479	con
4-15	480-485	zonas
4-16	486-489	más
4-17	490-503	sobreelevadas
4-18	503-504	.

5-1	505-508	Las
5-2	509-524	características
5-3	525-528	que
5-4	529-537	presentó
5-5	538-540	en
5-6	541-543	la
5-7	544-553	ecografía
5-8	554-560	ocular
5-9	561-567	fueron
5-10	568-579	compatibles
5-11	580-583	con
5-12	584-586	un
5-13	587-595	melanoma
5-14	596-602	ocular
5-15	603-605	de
5-16	606-610	gran
5-17	611-617	tamaño
5-18	618-619	y
5-19	620-629	extensión
5-20	630-636	difusa
5-21	636-637	.

6-1	638-640	La
6-2	641-651	Resonancia
6-3	652-659	Nuclear
6-4	660-669	Magnética
6-5	670-671	(
6-6	671-674	RNM
6-7	674-675	)
6-8	676-682	mostró
6-9	683-686	una
6-10	687-691	masa
6-11	692-695	con
6-12	696-700	base
6-13	701-703	de
6-14	704-706	17
6-15	707-709	mm
6-16	710-723	discretamente
6-17	724-736	hiperintensa
6-18	737-739	en
6-19	740-742	T1
6-20	743-744	e
6-21	745-756	hipointensa
6-22	757-759	en
6-23	760-762	T2
6-24	762-763	,
6-25	764-774	compatible
6-26	775-778	con
6-27	779-781	el
6-28	782-793	diagnóstico
6-29	794-796	de
6-30	797-805	melanoma
6-31	806-808	de
6-32	809-817	coroides
6-33	818-819	(
6-34	819-820	1
6-35	820-821	)
6-36	821-822	.

7-1	823-825	El
7-2	826-834	Servicio
7-3	835-837	de
7-4	838-847	Oncología
7-5	848-855	realizó
7-6	856-858	un
7-7	859-866	estudio
7-8	867-869	de
7-9	870-879	extensión
7-10	880-883	que
7-11	884-892	descartó
7-12	893-905	diseminación
7-13	906-917	metastásica
7-14	917-918	.

8-1	919-923	Dada
8-2	924-926	la
8-3	927-936	extensión
8-4	937-944	tumoral
8-5	944-945	,
8-6	946-948	la
8-7	949-963	sintomatología
8-8	964-967	del
8-9	968-976	paciente
8-10	977-978	y
8-11	979-981	la
8-12	982-990	ausencia
8-13	991-993	de
8-14	994-1005	posibilidad
8-15	1006-1008	de
8-16	1009-1021	recuperación
8-17	1022-1028	visual
8-18	1029-1031	se
8-19	1032-1039	planteó
8-20	1040-1042	el
8-21	1043-1054	tratamiento
8-22	1055-1063	mediante
8-23	1064-1075	enucleación
8-24	1076-1077	(
8-25	1077-1080	1,3
8-26	1080-1081	)
8-27	1081-1082	.

9-1	1086-1088	El
9-2	1089-1095	examen
9-3	1096-1102	visual
9-4	1103-1115	macroscópico
9-5	1116-1119	del
9-6	1120-1125	globo
9-7	1126-1132	ocular
9-8	1132-1133	,
9-9	1134-1138	tras
9-10	1139-1141	su
9-11	1142-1152	extracción
9-12	1152-1153	,
9-13	1154-1163	evidenció
9-14	1164-1166	la
9-15	1167-1176	presencia
9-16	1177-1179	de
9-17	1180-1188	invasión
9-18	1189-1197	escleral
9-19	1197-1198	.

10-1	1199-1201	El
10-2	1202-1210	paciente
10-3	1211-1221	evolucionó
10-4	1222-1236	favorablemente
10-5	1236-1237	,
10-6	1238-1249	conservando
