1-1	0-11	Presentamos
1-2	12-14	el
1-3	15-19	caso
1-4	20-22	de
1-5	23-26	una
1-6	27-32	mujer
1-7	33-35	de
1-8	36-38	70
1-9	39-43	años
1-10	43-44	,
1-11	45-48	con
1-12	49-61	antecedentes
1-13	62-64	de
1-14	65-77	hipertensión
1-15	78-86	arterial
1-16	86-87	,
1-17	88-94	hernia
1-18	95-97	de
1-19	98-103	hiato
1-20	103-104	,
1-21	105-118	estreñimiento
1-22	119-120	e
1-23	121-134	histerectomía
1-24	135-138	que
1-25	139-147	consultó
1-26	148-151	por
1-27	152-160	síndrome
1-28	161-170	miccional
1-29	171-181	irritativo
1-30	182-187	desde
1-31	188-193	hacía
1-32	194-195	8
1-33	196-201	meses
1-34	201-202	,
1-35	203-214	consistente
1-36	215-217	en
1-37	218-225	disuria
1-38	226-227	y
1-39	228-239	polaquiuria
1-40	240-248	intensas
1-41	249-252	con
1-42	253-262	urgencias
1-43	263-274	miccionales
1-44	275-286	ocasionales
1-45	287-290	sin
1-46	291-295	otra
1-47	296-310	sintomatología
1-48	311-320	urológica
1-49	321-328	añadida
1-50	328-329	.

2-1	330-332	En
2-2	333-336	los
2-3	337-344	últimos
2-4	345-346	6
2-5	347-352	meses
2-6	353-358	había
2-7	359-369	presentado
2-8	370-371	3
2-9	372-381	episodios
2-10	382-384	de
2-11	385-394	infección
2-12	395-398	del
2-13	399-405	tracto
2-14	406-414	urinario
2-15	415-419	bajo
2-16	420-423	con
2-17	424-435	urocultivos
2-18	436-445	positivos
2-19	446-447	a
2-20	448-449	E
2-21	449-450	.
2-22	451-455	coli
2-23	456-464	tratados
2-24	465-468	por
2-25	469-471	su
2-26	472-478	médico
2-27	479-481	de
2-28	482-490	cabecera
2-29	490-491	.

3-1	493-495	El
3-2	496-503	estudio
3-3	504-511	inicial
3-4	512-519	incluyó
3-5	520-530	bioquímica
3-6	531-540	sanguínea
3-7	541-544	que
3-8	545-548	fue
3-9	549-555	normal
3-10	555-556	,
3-11	557-562	orina
3-12	563-564	y
3-13	565-572	estudio
3-14	573-575	de
3-15	576-585	sedimento
3-16	586-588	de
3-17	589-594	orina
3-18	595-598	que
3-19	599-608	mostraron
3-20	609-616	intensa
3-21	617-629	leucocituria
3-22	629-630	,
3-23	631-641	urocultivo
3-24	642-645	que
3-25	646-649	fue
3-26	650-652	de
3-27	653-658	nuevo
3-28	659-667	positivo
3-29	668-669	a
3-30	670-676	E.coli
3-31	677-678	y
3-32	679-682	una
3-33	683-692	citología
3-34	693-701	urinaria
3-35	702-705	por
3-36	706-713	micción
3-37	714-724	espontánea
3-38	725-729	cuyo
3-39	730-739	resultado
3-40	740-743	fue
3-41	744-751	células
3-42	752-763	uroteliales
3-43	764-767	sin
3-44	768-775	atipias
3-45	776-777	y
3-46	778-788	abundantes
3-47	789-799	leucocitos
3-48	800-818	polimorfonucleares
3-49	819-830	neutrófilos
3-50	830-831	.

4-1	832-834	Se
4-2	835-845	prescribió
4-3	846-857	tratamiento
4-4	858-861	con
4-5	862-876	antibioteparia
4-6	877-878	y
4-7	879-894	anticolinérgico
4-8	895-896	(
4-9	896-907	tolterodina
4-10	907-908	)
4-11	908-909	.

5-1	911-912	A
5-2	913-916	los
5-3	917-918	3
5-4	919-924	meses
5-5	925-927	la
5-6	928-936	paciente
5-7	937-940	fue
5-8	941-949	revisada
5-9	950-952	en
5-10	953-961	consulta
5-11	962-969	externa
5-12	969-970	,
5-13	971-983	persistiendo
5-14	984-986	la
5-15	987-1001	sintomatología
5-16	1002-1008	basada
5-17	1009-1011	en
5-18	1012-1019	disuria
5-19	1020-1021	y
5-20	1022-1033	polaquiuria
5-21	1033-1034	,
5-22	1035-1037	si
5-23	1038-1042	bien
5-24	1043-1048	había
5-25	1049-1057	mejorado
5-26	1058-1066	bastante
5-27	1067-1069	de
5-28	1070-1073	las
5-29	1074-1083	urgencias
5-30	1084-1087	con
5-31	1088-1090	el
5-32	1091-1106	anticolinérgico
5-33	1106-1107	,
5-34	1108-1109	e
5-35	1110-1117	incluso
5-36	1118-1122	días
5-37	1123-1128	antes
5-38	1129-1133	dela
5-39	1134-1142	revisión
5-40	1143-1148	había
5-41	1149-1155	tenido
5-42	1156-1161	nuevo
5-43	1162-1170	episodio
5-44	1171-1173	de
5-45	1174-1183	infección
5-46	1184-1192	urinaria
5-47	1192-1193	.

6-1	1195-1199	Ante
6-2	1200-1202	la
6-3	1203-1209	escasa
6-4	1210-1219	respuesta
6-5	1220-1230	encontrada
6-6	1230-1231	,
6-7	1232-1234	se
6-8	1235-1241	inició
6-9	1242-1244	un
6-10	1245-1252	estudio
6-11	1253-1256	más
6-12	1257-1265	avanzado
6-13	1265-1266	,
6-14	1267-1278	solicitando
6-15	1279-1288	urografía
