1-1	0-11	Presentamos
1-2	12-14	el
1-3	15-19	caso
1-4	20-22	de
1-5	23-26	una
1-6	27-35	paciente
1-7	36-38	de
1-8	39-41	12
1-9	42-46	años
1-10	47-53	nacida
1-11	54-56	en
1-12	57-63	España
1-13	64-66	de
1-14	67-72	madre
1-15	73-85	nicaragüense
1-16	86-89	que
1-17	90-95	acude
1-18	96-98	al
1-19	99-105	centro
1-20	106-108	de
1-21	109-114	salud
1-22	115-118	por
1-23	119-128	aparición
1-24	129-131	de
1-25	132-140	lesiones
1-26	141-149	cutáneas
1-27	150-152	en
1-28	153-156	los
1-29	157-165	miembros
1-30	166-176	inferiores
1-31	177-179	de
1-32	180-182	36
1-33	183-188	horas
1-34	189-191	de
1-35	192-201	evolución
1-36	201-202	.

2-1	204-216	Inicialmente
2-2	217-219	se
2-3	220-229	objetivan
2-4	230-236	placas
2-5	237-245	lineales
2-6	246-257	pigmentadas
2-7	258-260	no
2-8	261-274	sobreelevadas
2-9	275-277	de
2-10	278-290	distribución
2-11	291-297	lineal
2-12	298-303	desde
2-13	304-306	la
2-14	307-311	raíz
2-15	312-314	de
2-16	315-320	ambos
2-17	321-329	miembros
2-18	330-340	inferiores
2-19	341-346	hasta
2-20	347-350	los
2-21	351-358	gemelos
2-22	359-360	y
2-23	361-364	que
2-24	365-379	posteriormente
2-25	380-386	habían
2-26	387-395	adoptado
2-27	396-398	un
2-28	399-403	tono
2-29	404-412	parduzco
2-30	412-413	.

3-1	414-416	En
3-2	417-423	ningún
3-3	424-431	momento
3-4	432-440	presenta
3-5	441-448	prurito
3-6	448-449	,
3-7	450-455	dolor
3-8	456-458	ni
3-9	459-467	malestar
3-10	468-475	general
3-11	475-476	.

4-1	477-480	Con
4-2	481-483	la
4-3	484-492	sospecha
4-4	493-500	clínica
4-5	501-503	de
4-6	504-507	una
4-7	508-517	quemadura
4-8	517-518	,
4-9	519-521	se
4-10	522-530	solicita
4-11	531-541	valoración
4-12	542-545	por
4-13	546-558	Dermatología
4-14	558-559	,
4-15	560-564	cuya
4-16	565-573	sospecha
4-17	574-585	diagnóstica
4-18	586-595	principal
4-19	596-598	es
4-20	599-601	de
4-21	602-610	reacción
4-22	611-621	fototóxica
4-23	621-622	.

5-1	623-627	Tras
5-2	628-640	reinterrogar
5-3	641-642	a
5-4	643-645	la
5-5	646-654	paciente
5-6	654-655	,
5-7	656-658	la
5-8	659-664	misma
5-9	665-672	refirió
5-10	673-680	haberse
5-11	681-690	derramado
5-12	691-694	una
5-13	695-703	solución
5-14	704-714	alcohólica
5-15	715-718	con
5-16	719-727	extracto
5-17	728-730	de
5-18	731-735	ruda
5-19	735-736	,
5-20	737-746	utilizada
5-21	747-749	en
5-22	750-752	su
5-23	753-759	ámbito
5-24	760-768	familiar
5-25	769-773	para
5-26	774-782	combatir
5-27	783-786	los
5-28	787-795	síntomas
5-29	796-806	catarrales
5-30	806-807	,
5-31	808-809	y
5-32	810-824	posteriormente
5-33	825-827	se
5-34	828-834	expuso
5-35	835-837	al
5-36	838-841	sol
5-37	842-844	de
5-38	845-850	forma
5-39	851-861	prolongada
5-40	861-862	.

6-1	863-865	Se
6-2	866-873	informa
6-3	874-876	de
6-4	877-879	la
6-5	880-890	benignidad
6-6	891-894	del
6-7	895-901	cuadro
6-8	902-903	y
6-9	904-906	la
6-10	907-916	necesidad
6-11	917-919	de
6-12	920-928	realizar
6-13	929-943	fotoprotección
6-14	944-952	adecuada
6-15	952-953	.
